ROW_ID,LOCATION,GENDER,CAUSE_OF_DEATH,YEAR,NR_DEATH,AGE_STD_MORTALITY_RATE
1,"Canada, place of residence",Males,"Total, all causes of death  [A00-Y89]",2018,"145,771",810.7
2,"Canada, place of residence",Males,"Total, all causes of death  [A00-Y89]",2019,"146,342",786
3,"Canada, place of residence",Males,"Total, all causes of death  [A00-Y89]",2020,"159,722",832.5
4,"Canada, place of residence",Males,"Total, all causes of death  [A00-Y89]",2021,"163,726",828.3
5,"Canada, place of residence",Males,"Total, all causes of death  [A00-Y89]",2022,"174,065",857.3
6,"Canada, place of residence",Males,Salmonella infections  [A01-A02],2018,4,0
7,"Canada, place of residence",Males,Salmonella infections  [A01-A02],2019,3,0
8,"Canada, place of residence",Males,Salmonella infections  [A01-A02],2020,7,0
9,"Canada, place of residence",Males,Salmonella infections  [A01-A02],2021,7,0
10,"Canada, place of residence",Males,Salmonella infections  [A01-A02],2022,6,0
11,"Canada, place of residence",Males,"Shigellosis and amoebiasis  [A03, A06]",2018,0,0
12,"Canada, place of residence",Males,"Shigellosis and amoebiasis  [A03, A06]",2019,0,0
13,"Canada, place of residence",Males,"Shigellosis and amoebiasis  [A03, A06]",2020,0,0
14,"Canada, place of residence",Males,"Shigellosis and amoebiasis  [A03, A06]",2021,1,0
15,"Canada, place of residence",Males,"Shigellosis and amoebiasis  [A03, A06]",2022,0,0
16,"Canada, place of residence",Males,"Certain other intestinal infections  [A04, A07-A09]",2018,335,1.9
17,"Canada, place of residence",Males,"Certain other intestinal infections  [A04, A07-A09]",2019,311,1.7
18,"Canada, place of residence",Males,"Certain other intestinal infections  [A04, A07-A09]",2020,300,1.6
19,"Canada, place of residence",Males,"Certain other intestinal infections  [A04, A07-A09]",2021,253,1.3
20,"Canada, place of residence",Males,"Certain other intestinal infections  [A04, A07-A09]",2022,290,1.4
21,"Canada, place of residence",Males,Tuberculosis  [A16-A19],2018,49,0.3
22,"Canada, place of residence",Males,Tuberculosis  [A16-A19],2019,51,0.3
23,"Canada, place of residence",Males,Tuberculosis  [A16-A19],2020,58,0.3
24,"Canada, place of residence",Males,Tuberculosis  [A16-A19],2021,67,0.3
25,"Canada, place of residence",Males,Tuberculosis  [A16-A19],2022,69,0.3
26,"Canada, place of residence",Males,Whooping cough  [A37],2018,0,0
27,"Canada, place of residence",Males,Whooping cough  [A37],2019,2,0
28,"Canada, place of residence",Males,Whooping cough  [A37],2020,0,0
29,"Canada, place of residence",Males,Whooping cough  [A37],2021,0,0
30,"Canada, place of residence",Males,Whooping cough  [A37],2022,0,0
31,"Canada, place of residence",Males,"Scarlet fever and erysipelas  [A38, A46]",2018,0,0
32,"Canada, place of residence",Males,"Scarlet fever and erysipelas  [A38, A46]",2019,0,0
33,"Canada, place of residence",Males,"Scarlet fever and erysipelas  [A38, A46]",2020,0,0
34,"Canada, place of residence",Males,"Scarlet fever and erysipelas  [A38, A46]",2021,0,0
35,"Canada, place of residence",Males,"Scarlet fever and erysipelas  [A38, A46]",2022,1,0
36,"Canada, place of residence",Males,Meningococcal infection  [A39],2018,1,0
37,"Canada, place of residence",Males,Meningococcal infection  [A39],2019,3,0
38,"Canada, place of residence",Males,Meningococcal infection  [A39],2020,4,0
39,"Canada, place of residence",Males,Meningococcal infection  [A39],2021,5,0
40,"Canada, place of residence",Males,Meningococcal infection  [A39],2022,3,0
41,"Canada, place of residence",Males,Sepsis  [A40-A41],2018,966,5.5
42,"Canada, place of residence",Males,Sepsis  [A40-A41],2019,985,5.4
43,"Canada, place of residence",Males,Sepsis  [A40-A41],2020,993,5.3
44,"Canada, place of residence",Males,Sepsis  [A40-A41],2021,992,5.1
45,"Canada, place of residence",Males,Sepsis  [A40-A41],2022,"1,020",5.1
46,"Canada, place of residence",Males,Syphilis  [A50-A53],2018,5,0
47,"Canada, place of residence",Males,Syphilis  [A50-A53],2019,2,0
48,"Canada, place of residence",Males,Syphilis  [A50-A53],2020,4,0
49,"Canada, place of residence",Males,Syphilis  [A50-A53],2021,5,0
50,"Canada, place of residence",Males,Syphilis  [A50-A53],2022,4,0
51,"Canada, place of residence",Males,Acute poliomyelitis  [A80],2018,0,0
52,"Canada, place of residence",Males,Acute poliomyelitis  [A80],2019,0,0
53,"Canada, place of residence",Males,Acute poliomyelitis  [A80],2020,0,0
54,"Canada, place of residence",Males,Acute poliomyelitis  [A80],2021,0,0
55,"Canada, place of residence",Males,Acute poliomyelitis  [A80],2022,0,0
56,"Canada, place of residence",Males,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2018,0,0
57,"Canada, place of residence",Males,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2019,1,0
58,"Canada, place of residence",Males,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2020,0,0
59,"Canada, place of residence",Males,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2021,2,0
60,"Canada, place of residence",Males,"Arthropod-borne viral encephalitis  [A83-A84, A85.2]",2022,0,0
61,"Canada, place of residence",Males,Measles  [B05],2018,0,0
62,"Canada, place of residence",Males,Measles  [B05],2019,1,0
63,"Canada, place of residence",Males,Measles  [B05],2020,0,0
64,"Canada, place of residence",Males,Measles  [B05],2021,0,0
65,"Canada, place of residence",Males,Measles  [B05],2022,0,0
66,"Canada, place of residence",Males,Viral hepatitis  [B15-B19],2018,238,1.2
67,"Canada, place of residence",Males,Viral hepatitis  [B15-B19],2019,200,1
68,"Canada, place of residence",Males,Viral hepatitis  [B15-B19],2020,168,0.8
69,"Canada, place of residence",Males,Viral hepatitis  [B15-B19],2021,182,0.9
70,"Canada, place of residence",Males,Viral hepatitis  [B15-B19],2022,144,0.7
71,"Canada, place of residence",Males,Human immunodeficiency virus [HIV] disease  [B20-B24],2018,112,0.6
72,"Canada, place of residence",Males,Human immunodeficiency virus [HIV] disease  [B20-B24],2019,81,0.4
73,"Canada, place of residence",Males,Human immunodeficiency virus [HIV] disease  [B20-B24],2020,111,0.6
74,"Canada, place of residence",Males,Human immunodeficiency virus [HIV] disease  [B20-B24],2021,107,0.6
75,"Canada, place of residence",Males,Human immunodeficiency virus [HIV] disease  [B20-B24],2022,98,0.5
76,"Canada, place of residence",Males,Malaria  [B50-B54],2018,1,0
77,"Canada, place of residence",Males,Malaria  [B50-B54],2019,0,0
78,"Canada, place of residence",Males,Malaria  [B50-B54],2020,0,0
79,"Canada, place of residence",Males,Malaria  [B50-B54],2021,0,0
80,"Canada, place of residence",Males,Malaria  [B50-B54],2022,0,0
81,"Canada, place of residence",Males,Other and unspecified infectious and parasitic diseases and their sequelae 25,2018,454,2.5
82,"Canada, place of residence",Males,Other and unspecified infectious and parasitic diseases and their sequelae 25,2019,460,2.5
83,"Canada, place of residence",Males,Other and unspecified infectious and parasitic diseases and their sequelae 25,2020,463,2.4
84,"Canada, place of residence",Males,Other and unspecified infectious and parasitic diseases and their sequelae 25,2021,524,2.6
85,"Canada, place of residence",Males,Other and unspecified infectious and parasitic diseases and their sequelae 25,2022,679,3.3
86,"Canada, place of residence",Males,Malignant neoplasms  [C00-C97],2018,"42,216",225.6
87,"Canada, place of residence",Males,Malignant neoplasms  [C00-C97],2019,"42,975",222.1
88,"Canada, place of residence",Males,Malignant neoplasms  [C00-C97],2020,"43,004",215.4
89,"Canada, place of residence",Males,Malignant neoplasms  [C00-C97],2021,"43,890",213.3
90,"Canada, place of residence",Males,Malignant neoplasms  [C00-C97],2022,"43,408",204.8
91,"Canada, place of residence",Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2018,952,5.3
92,"Canada, place of residence",Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2019,988,5.3
93,"Canada, place of residence",Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2020,"1,041",5.5
94,"Canada, place of residence",Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2021,"1,023",5.2
95,"Canada, place of residence",Males,"In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behaviour  [D00-D48]",2022,"1,004",4.9
96,"Canada, place of residence",Males,Anaemias  [D50-D64],2018,211,1.2
